wallet_address,chain
0x75ca19246cff6ad853975e2babdc93053d326800,MATIC
0x7b901288d982c208f74d2d68345bef338f23406f,MATIC
0x4a3e3fed9e90b7e675399a6341ce45b83ee503a7,MATIC
0x7fe4d3f9a56444a7a779d691b1c1c2421c0c9aab,MATIC
0xa67a47cde806b0845af7de85908d6f6e47fda455,MATIC
0x83c6326592d5e3a2430b4cc6776c4eba81a27013,MATIC
0x94890d61a7c35f9d98035a4b64009aa2fd7fdf88,MATIC
0x1489a4987dd9c2dcf1d556eae2f6814a6a863368,MATIC
0x33c33e91ef503665dd2299bd036d8db3f0beb4a9,MATIC
0x8251dc26cfccc919b49c909d805576eb1bb15709,MATIC
0x138d2eaa9014e8f675b3a4b17e3cea3c0ebf17e0,MATIC
0xcb6586874cc04b01cc4fdb777de502cea7b3d6c1,MATIC
0xfdca11dad6e9abda41dc339a91f87f3bcaa30343,MATIC
0x3d045f52223a9595fb18377b6ca7ac8e220ab35a,MATIC
0x9a3ce880470cbd7f3e00e4c1c4ce0854652e0819,MATIC
0x7e689c1ef962160685da69742170b3629e6299ae,MATIC
0x05f4ccfe7747aa083954f54c6c67e93882c6428c,MATIC
0x03536c926c9fd2ce618c9e8175d86b3b7f68e2ed,MATIC
0xc7ab7c6ed66efc72ed52503626819a8d10027970,MATIC
0xfef82aa0837154db921257730b9fb1b16e16afeb,MATIC
0xd44bd5996ce9e6d1f01388878ed02e3ceb49925c,MATIC
0xb64e48579fd74c1f48d5aa82fe70475544a56a71,MATIC
0xa028dbe15c42edf62734e3c2298464a0cb753193,MATIC
0x3aafef5b6283af44818c156e982efad1e27bc591,MATIC
0x3E38Ef489af0E780fB1A18dB36B47EFCb6A859B5,METIS
0x0c6FA8487aa1F89640C8c59f392503cD21a24C8E,METIS
0x5Be66f4095f89BD18aBE4aE9d2acD5021EC433Bc,METIS
0xCB6586874cc04B01Cc4fDB777dE502cEa7b3D6c1,METIS
0x92CB8A7AF7133303A00CcA4a70b0E544a8435bd4,METIS
0xcF0FaB6963e111b58518072bb92dc3752b5badc5,METIS
0x4Ab3D7F4c46E511Ca09eeCDAC483e43ED96bd7Aa,METIS
0xE53f8Cc868dC2e0fb1Da5BD1b5E6404600A6DE22,METIS
0x7fA13526C6b6513D2599c4B6083ba4efe97950B8,METIS
0xB62F642d489f0ED524Dce84B35ED91021321FBbE,METIS
0x6aef48eA854Bc0e805232ceCbab2fab592037c19,METIS
0x48Fb55eD1Fb62ED26274fb805f6444bEa97c1F28,METIS
0x6ba729b63BB899fE74064b9B5921e30ec4405770,METIS
0x1AB18167ECAEb74959E565A52eDEAE55BCd879c0,METIS
0x5f20d84dbFCe7D9Bd5b43Dd22e650e1Ef017c011,METIS
0x8D869f609beD9516596D8563E26d4870f5f1AaFB,METIS
0xc4F3eA9A57445B7909A5F825a9fDf8fa5bFf3445,METIS
0xb7D4cc582BF137166E1499960754d32558e18440,METIS
0x8Ea3985F053500d4526Ff36ecB5E6E589C4C5342,METIS
0x9F6d8d7c57E989FEdf1D50d9Cf66c91DEf446405,METIS
0x17736063f4C89d746Fd7BF5719A8EfE74Cccb7B9,METIS
0x1fAc6EEe2197c98D1ef0F166ECcFFA8632e9a279,METIS
0x5A008fBC7551023d888976B8D410E587Ca6A077b,METIS
0xe027880CEB8114F2e367211dF977899d00e66138,METIS
0xbD07C5a0c16fed711326174a2E6331d15EA65D24,METIS
0xaE69116E4AA49645f78C1Fc9f28F677aeDE0d153,METIS
0xcFE8cE9EecE778b1f71555b56f7FCD68B17226A4,METIS
0xEBcC98573c3cd9b5B61900D1304DA938B5036a0d,METIS
0xD06fEe44914F8047525CDc726f2b805fb409A3Cd,METIS
0x370Ac69943E09e402fA8ce377e30d565a27B1592,METIS
0x582fc01b5a2777374d0aff126e3edd8135ea79ee,FTM
0x5b655fecb44e923dc96808eab35e95f4c915655c,FTM
0xd0cfa0c46facdbff2bc5058fe5aa1cd6144c30de,FTM
0xaf1a6804f3cdd6bf813977f4f4cc74ae036a4b93,FTM
0x36ebbc8ac514cd8d2061632b89f2e445a3f55f08,FTM
0x8a87448948625e7ea7822bff2c740c5cf9723d4c,FTM
0x56868e178e90f2139943b826f0c8c31425bc5c12,FTM
0xa8b4baa614e4af59e78afd60accd14edc459c646,FTM
0xbc85b7c497bfca12886efa8557be0232a767d384,FTM
