user,pool,block,position,lpvalue
0xd9d5024ee742D5603EC433F3F90E9825967588fC,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2900292,0,0.0805885647136758
0xd9d5024ee742D5603EC433F3F90E9825967588fC,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2900280,0,0.041489182578
0xd9d5024ee742D5603EC433F3F90E9825967588fC,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2900270,0,0.040489537578
0xd9d5024ee742D5603EC433F3F90E9825967588fC,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2900259,0,0.030492113678
0xd9d5024ee742D5603EC433F3F90E9825967588fC,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2900248,0,0.020494689778
0x033c4c4d33624848154F51BaaA431584e5fbfE66,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2896363,0,1.4994675
0x9546F673eF71Ff666ae66d01Fd6E7C6Dae5a9995,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2895623,0,84346.96462225576
0x58E7Bd2bFB38C69A248d587bB3894054b9D51020,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2887706,0,1.9966709301
0xD7B91c93E5a87472ca551D4C306ca2397d0354Ad,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2886165,0,0.0
0xD7B91c93E5a87472ca551D4C306ca2397d0354Ad,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2886144,0,3.22216472425805
0x16CC9a8296e1E7D902e1d5171Ba7A0486E7b0309,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2883232,0,-1.7763568394002505e-15
0x16CC9a8296e1E7D902e1d5171Ba7A0486E7b0309,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2883221,0,9.997423899999998
0x16CC9a8296e1E7D902e1d5171Ba7A0486E7b0309,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2883183,0,16.995620629999998
0x16CC9a8296e1E7D902e1d5171Ba7A0486E7b0309,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2883175,0,9.9974239
0x9546F673eF71Ff666ae66d01Fd6E7C6Dae5a9995,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2882183,0,83959.88573225576
0x226E198190E1CDa9b34081c298366ac75ddEe744,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2880253,0,-0.004178923190199413
0x3E6Bc49214FA97F68a2feE8D1D785edC35Ec4c38,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2869115,0,0.1399503
0xC25d79fc4970479B88068Ce8891eD9bE5799210D,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2868776,0,7.907962304899999
0xC25d79fc4970479B88068Ce8891eD9bE5799210D,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2868664,0,6.908219914899999
0xC25d79fc4970479B88068Ce8891eD9bE5799210D,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2868638,0,5.9084775248999994
0xC25d79fc4970479B88068Ce8891eD9bE5799210D,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2868629,0,6.908219914899999
0xC25d79fc4970479B88068Ce8891eD9bE5799210D,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2868621,0,7.008194153899999
0xC25d79fc4970479B88068Ce8891eD9bE5799210D,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2868615,0,6.008451763899999
0x3E6Bc49214FA97F68a2feE8D1D785edC35Ec4c38,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2868553,0,0.0
0xcaB4CE706fd30BF95bf87b5Df2E958e1484fcb14,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2868472,0,1.099716629
0xcaB4CE706fd30BF95bf87b5Df2E958e1484fcb14,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2868464,0,0.99974239
0x3E6Bc49214FA97F68a2feE8D1D785edC35Ec4c38,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2868454,0,0.39829655451
0x9546F673eF71Ff666ae66d01Fd6E7C6Dae5a9995,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2859468,0,84153.43135666025
0xcc012af9d98b80369164476fe6d76738B18Ee038,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2859241,0,0.0
0xcc012af9d98b80369164476fe6d76738B18Ee038,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2859222,0,11.71635297257908
