buyer_address,buyer_shares,buyer_uint_term
0xDf4AcE29970D2F2Aa44De82f708755d27F5234c0,10,126144000
0xB791Ca7bf6288079ACE86ca961Ea7826787CaEC1,10,126144000
0x36B7B3a8d633186Fa95AD5D04Cf9f7813135aBb7,9,99839999
0x43D9b61c9496EE28463060A9001b1b0761De6a42,12,126144000
0x1633f45047A90DA9405D16422DC22e7e9be4703c,337,6099786
0x7E2f22c7E7c635d7e009952b91B00dAcb4358F04,6,7776000
0x631f82fB2A62496d28780A821f47786b05e2278A,20,67780793
0xAEA2119432b4401F106379cDAab0F728Ab7EFD17,7,41595427
0x7ba130afC8f7bBa12feC271e8909e88Ae0842C40,8,7776000
0x39787D2e75C3aD12A99D582954C17A79806bf683,47,4246467
0x30e1b91A62C9f16BC83447EAF3B031800A6B4c60,7,7775999
0xf169aD2dF638384A4304807E636777e8B334239C,14,126144000
0x5f71CD2E7Fab7a8d976BD07003ebBFeeCB2B9fe2,2000,4622220
0x06c0BB4eBC1679608ceAC6AA806a12B4435E0BCA,9,7775999
0xA93093fc1D0343298966E1F971fAE10a7a629296,8,7776000
0x9a0e126cb320636955116BeC3c9d0c0cD1212823,9,7776000
0xD6edAdCEFeDc0228F8a4D7e3e1bCC33B8efA70b2,8,7776000
0x3d2fed8bdDEd8c4a0f66492f22d263aC40fd7635,10,7776000
0xEbbEEC84a813471DFFd24469e3C509F1b86E9BaC,20,126144000
0xD57CB6eF12730e506771c173FdA310e29F42592B,10,7776000
0xAe41dECd2E9202bDc18Ab4F97af6C4D09c9a3822,12,76823999
0xBb7292e2461D40ec65d97Ffe42A34C6989224e83,17,126143999
0xD3a5eB04D919d17B846D81b9875c652720b7bE97,15,86687999
0x2C4fEd531FE97e466c9B12430A301B9Bb44c254e,10,7776000
0x778cF44Ca697121C94419Ec941d49Bc2C85bA92E,10,7776000
0x77A37c30F67E9a321cad4Cc4a10F7fa19081c35a,10,7776000
0xcc65314829dB35BC48180F437C91A4787Be7bFe4,10,7776000
0x8B1685c39B550D58BB366427AF5f3BBDfE6744Db,10,7776000
0xC95f8ce71cdcA3B34b1eed8DE63124bABE3A9BC6,10,7776000
0xF0C545Fc7ec5c02486E9661a1e8F10484E542DBe,10,7776000
0x045a0f3D255b01D5Bd6d268a59F8E941C87Fa54B,10,7776000
0x15fdf6CD5f7D9374E35724481CA7e5c2aa256daC,20,126144000
0x7f6669B634F6a60e37688c1fc2f3Ec3F91AC08FF,10,7776000
0x5b1965bA9e0324Bed6B246dEcE3f84124af8BB5f,10,7776000
0x78dF5ea807469198B7415b06375aeBc560cff20b,10,7776000
0xf3114E28edC7f1d6EF67548cB62491D36334803E,10,7776000
0xAdf228a1A9E705CA02a998E1b1bC6f14B3Bba908,11,18536726
0xE34CEa6bA44080Fb5C2307db6c0b375Edb5E6e54,126,4514741
0xFbb4d9D0002ea3df7fAf500538B7c712229f7242,10,7776000
0x7ef176031099b87756F27582A23Df06B507d1462,10,7776000
0xdD603e4c63e57c2D10EC7A0304E6b427cba00001,10,7776000
0x7Ec80d71d85703bc2b8912B82f8DaA874a0919F4,10,7776000
0x0d6b51183f446fc35E89C895420a967ef39F1506,10,7776000
0x0B6bD47DB615E755942B9A920F031dCbb6c8A562,20,7992000
0x63B472eba84171b5B3d15dB1EB1FFC30049F9d1a,10,7776000
0xE6b06cf6F3a9027abdC1DCd97a2C562856b2EF99,283,13546175
0xa55b524DbdD2D7080FaaDAe7807CbA904eF8A827,10,7776000
0xaF76e0c3F11eca80d7364645E0BDc1687B7e71eF,23,126143999
0x5C5841036abc2Bd7AF894F16558702787bfFe8e2,24,126144000
0xc8cae4DbFF0eD4fcA7D9d66A08a922e112e68e14,44,83140363
0xd946B3A3694864358DcA0CD641d72263E032a0c8,14,7776000
0x6bDc653284bF4DC4A60c2da77057ceF42B556034,26,126144000
0x53637bd6F282Aa36DBAf4d252702816c0DF1DE82,25,126144000
0xdac1F7c05d9F7C93df732255c54f34A0712E8a8f,24,126144000
0x5649Fa8D5B1bffE87dE9EB7320fcc9995380E8b6,13,7776000
0xe3AD3f02B0f21144f72EF156FfED76a30a736717,13,7776000
0x9b36c3776Dd55b1FaF85eD7925C9992A563AE859,25,126144000
0xd19c0557991Da2F275CC45c06BC3dD05ddFE509a,13,7776000
0x3d8D1B8E658bB85db246A84F0bE79B5Cb46a2df7,30,126143999
0x2567Fa17B946d15E749B5Ed973eD9451a81CC6Cc,26,126144000
0x680F628f9c50A1178ECaFC2F67a218379e497211,13,7776000
0xFe490A7C9A57ff3918E313DA23421a142bAA10A7,30,126144000
0x174D85C84ED255D6586FdA0B38366F703a585459,29,126143999
0xD0fE107cAF81614A0435a6eC9C9c40B3e63f9b66,129,980538
0x5Ba323cC3E4B01DeD640fC78c8948DCfB8f298Cd,153,26678962
0xA881FbaAAD0E1eB4f93de4A176cD3Cf1AeE7bdC7,16,7776000
0x4AfdF853d342d6A9372F65Dc2f897E291ED04B26,17,7775999
0xa435B4C4894a629Ce5874B0F96EB4F7a1381B828,37,126144000
0xdCe09bBde671A9A9aB7E0f9DB0df1C33a7d5Ad37,20,7776000
0xafA85eB2C713f1bb0ad5D81bb9b8c93174312955,300,3196508
0xd53C7f934dDeA89b82Fc9aB9616a282248aB6C09,17,7776000
0x7d0A940d81cE63cE716a1e3CD7372F78F79d2414,21,7776000
0xa155DCbBfFb2c6b945dDa0eF5a7086429BFaEa44,19,7776000
0x68278A0fE8325ca22C1900FC9451837E75Fe3a8f,313,18127160
