wallet_address,remaining_vest,chain
0x2D612Ba35E081957E2DaFd5cE340F872d46BeEAE,769.1400428643074,ETH
0xCB6586874cc04B01Cc4fDB777dE502cEa7b3D6c1,10757.882814498666,ETH
0x48Fb55eD1Fb62ED26274fb805f6444bEa97c1F28,1281.9000641153689,BNB
0xc70215BB6ebb45fB4EDD7DAcE92b884277Cd4Ea3,66.34492894413434,BNB
0x6aef48eA854Bc0e805232ceCbab2fab592037c19,1281.9000641153689,BNB
0xb6FD60D7FE060098c46Ab96E3B3618b2239D0940,6146.659566554397,BNB
0x1fAc6EEe2197c98D1ef0F166ECcFFA8632e9a279,2684.706677448697,BNB
0x7ea2D94c0bb347014db4c08E70fAC5F67793fFe0,41471.666809014416,BNB
0x073aBA73177668Ba1c6661A4CCddbF77dfC8809a,47050.93345014475,BNB
0x68f5DA4A7027705590220143AE1073877076ffF5,2941.8143603345648,BNB
0x3e6EdBa22D9cE22a7168406d26598AE20FE08e41,13844.520771557532,BNB
0x89A50C9F4DbaC2aE81bE76763Da28A8F96FF4fb0,2307.420128592922,BNB
0x961870e8aA20DD1A6a5833d0854a6A5c4Ad77EC0,44108.93272644529,BNB
0xDAE50fF45a80E362B783D6615Cfb45186abdaA0a,7750.901330903525,BNB
0x92D0996E3F19D4b4A56754043F79e174c30Be515,3255.61922579965,BNB
0xCB6586874cc04B01Cc4fDB777dE502cEa7b3D6c1,10757.882814498666,BNB
0xa48cD684ded1EeE3dE13E052BBdcFed59558a1Ca,278305.01723541564,ARB
0x83c6326592D5e3a2430b4cC6776c4ebA81a27013,307.5109793090685,ARB
0x89A50C9F4DbaC2aE81bE76763Da28A8F96FF4fb0,2307.420128592922,ARB
0xc70215BB6ebb45fB4EDD7DAcE92b884277Cd4Ea3,66.34492894413434,ARB
0x73edcD0F5cF8DF7a3e1d11ef5d696c266d996F9D,4556.956975102856,ARB
0xb6FD60D7FE060098c46Ab96E3B3618b2239D0940,6146.659566554397,ARB
0x48Fb55eD1Fb62ED26274fb805f6444bEa97c1F28,1281.9000641153689,ARB
0x2D612Ba35E081957E2DaFd5cE340F872d46BeEAE,769.1400428643074,ARB
0x1fAc6EEe2197c98D1ef0F166ECcFFA8632e9a279,2684.706677448697,ARB
0x5c209b41508A2c31323c14e0c3006dC95ed68A06,36563.24652207043,ARB
0x6b9bd94123D5BDE795B75b803577Cd0092c0864F,1353.6864754411808,ARB
0xd48f1A44e56526e96A983FF750559aa365810D5A,2117.228123736917,ARB
0x231D04d32DdC9573b775B1738B51F8108639017c,2935.162840759943,ARB
0xCB6586874cc04B01Cc4fDB777dE502cEa7b3D6c1,10757.882814498666,ARB
0xFf0db36BdF740ce4190892E0D930bc411420ef44,18105.71288656228,ARB
0x0f2C76d25DAEA96C809D30bae289eac0978498c5,12591.27019100463,ARB
0x4936f33b7B060c7336fD0e4c61316EA248DA6827,13324.435599715953,ARB
0xB8d86D6dB117e21C27636034D3Dd8859018daf9C,2307.420128592922,ARB
0xAC8557B877e3Fa9E5F21185929E17515fBA1C2FB,9801.471258912428,ARB
0xcFE8cE9EecE778b1f71555b56f7FCD68B17226A4,66.1955850952628,ARB
0x28a21A3A4b197eA59aa8E4Ab7001ed62Bc53d1cA,11219.314714497774,ARB
0xD7f50E71A6C0525479AbBA17F02Eddb55B6F3Ff5,1968.998502700489,ARB
0x41a6ac7f4e4DBfFEB934f95F1Db58B68C76Dc4dF,8270.18507933084,ARB
0xf7463e7335033586683Ac1f3DF3080a0B38BaBe9,196075.07431370573,ARB
0x8cE3222c6fe02D531C1D7f082e7fdF01EC789A7B,865.2825482223458,ARB
0x2911D75db7ba507BF0Ce6EdB9033e7Fb54b06aDf,384.5700214321537,ARB
0x74Ec3f1a9Ed462869F1c322370Ba288c60Ce9f5c,2814.0021196188804,ARB
0x8a59Ea01E629A3E8443F2821A986DD626333d2Ad,10948.497196114811,ARB
0x073aBA73177668Ba1c6661A4CCddbF77dfC8809a,47050.93345014475,ARB
0xaA2D91Bb050c99237D51a33958F1efdc1caBB52B,5409.336560562949,ARB
0x6aef48eA854Bc0e805232ceCbab2fab592037c19,1281.9000641153689,ARB
0x52EB753f528e3113099bBc8304233dbAa49Ba9B3,4890.851655425149,ARB
0xD4787E151669ddDDDD6E79197E347837ede02927,1195.9521613486777,ARB
0xC877D91a16a5fb483dD96a4a00Ede9B240374a25,1376.807803768822,ARB
0xF90f56AFa1DaE825Db57fc305B2F8F1Ccf337531,104.71993167560272,ARB
0x879867c28a335F5EC2439630B3C84587AbEC8469,7706.783229500359,ARB
0x63C80fe5b716D2E5c937A8fE787aA17Df59d4344,134.59950750125378,ARB
0x17736063f4C89d746Fd7BF5719A8EfE74Cccb7B9,269.1990150025076,ARB
0xA110d783a5b6B0B2A2C867094364E8f9752D5B93,844.7797029645757,ARB
0x48Fb55eD1Fb62ED26274fb805f6444bEa97c1F28,1281.9000641153689,METIS
0x6aef48eA854Bc0e805232ceCbab2fab592037c19,1281.9000641153689,METIS
0xCB6586874cc04B01Cc4fDB777dE502cEa7b3D6c1,10757.882814498666,METIS
0xE53f8Cc868dC2e0fb1Da5BD1b5E6404600A6DE22,3399.598989460238,METIS
0x4Ab3D7F4c46E511Ca09eeCDAC483e43ED96bd7Aa,92.9446056534189,METIS
0x1fAc6EEe2197c98D1ef0F166ECcFFA8632e9a279,2684.706677448697,METIS
0x17736063f4C89d746Fd7BF5719A8EfE74Cccb7B9,269.1990150025076,METIS
0xEBcC98573c3cd9b5B61900D1304DA938B5036a0d,961.5115840327492,METIS
0xcFE8cE9EecE778b1f71555b56f7FCD68B17226A4,66.1955850952628,METIS
0x58C4f03a954e4CbB1b8E204a881a8e9A99d015Dd,2687.281120145726,OP
0x748E56dB8A0B50Ab45E5EE166D768B0f068a17D9,10319.295564840922,OP
0xE61BB41d806a63F41402d91B67BA08638941987E,117.20229224598968,OP
0xeA785F32dffa4532fCAd90F0A067786280AEC2f5,3994.54066762764,OP
0x5bceCE0a092a94aA59810b38a3ee363BE149dCdb,26150.76145738645,OP
0xD1A0B66835D830e9ada42eEf436f3AA8005b20B5,4614.127128118444,OP
0x92D0996E3F19D4b4A56754043F79e174c30Be515,3255.61922579965,OP
0x6e45310B69908A7490EbDbb66601462c8dA6e46a,1175.685494092584,OP
0xf94E9CF2E4af019d86565dd49869732b776D8e78,651.1238451599299,OP
0xCFF37a4eFbeb5Ff30DF7fF1404C0151BaBa3CB88,14650.28653074871,OP
0x6aef48eA854Bc0e805232ceCbab2fab592037c19,1281.9000641153689,OP
0xBa971F58A00e8ffC7E91C0e8E7efcCBfbfE8F09e,225.09460868718995,OP
0x7ea2D94c0bb347014db4c08E70fAC5F67793fFe0,41471.666809014416,OP
0x7eCf3629e27b410d6a277CDca9c99240706EeBec,156758.0658790112,OP
0xdE8F8849579F06a30C0dd3ae3d5408EbDaAaBCF7,21870.61534079877,OP
0xf856034e9264f13Ac8B5140F43068604C9aE41E8,871.6920685039379,OP
0xb673e27222eFB850890d6dCef12401e4C707503c,1922.850107160768,OP
0xBcb3ab7d59D0B9c1E1158A0d8229858067bc8541,3418.4001826945464,OP
0x62FA348C4bF5C1cA166cC64DcCdaB0db0E35753E,1281.9000641153689,OP
0xccC4e8Ad313dF8150211B1b934725345924ab81D,6270.322635160448,OP
0x28a21A3A4b197eA59aa8E4Ab7001ed62Bc53d1cA,11219.314714497774,OP
