wallet_address,remaining_vest,term,grain_owed,pending_grain,grain_claimed,grain_to_claim,weight,chain
0x17F5Bb7bD7CA529d6A506730Ef7dCF668f7b414a,0.0,0.0,0.0,0.0,0.0,0.0,0,ETH
0x3A2e6195662aFB0695fACB6b296c6aF29B772a77,0.0,4.0,9435.564237491792,9435.564237491792,0.0,9435.564237491792,805066527,ETH
0xd86b8F9287577338f65893745CAA95959Bd62285,9758.31198360201,0.0,9758.31198360201,0.0,9758.31198360201,0.0,832604192,ETH
0xf62219b2923EE3b7E45f9f933D99c10E888baaC3,0.0,12.0,8826.290723141905,2942.096907713968,0.0,8826.290723141905,753081749,ETH
0x98F29C82e407c702992A0Bdf3070961Df48E21d2,0.0,1.0,109.0636947510528,109.0636947510528,0.0,109.0636947510528,9305594,ETH
0x82Be6e026cd424618Dc2c8D8a932Fc47Bc97481f,0.0,3.0,41610.42664862757,41610.42664862757,0.0,41610.42664862757,3550308262,ETH
0x4F9061b289535c049B0E2bBc52C4102302fAC828,43950.859592246125,4.0,43950.859592246125,0.0,43950.859592246125,0.0,3750000000,ETH
0x229d4Bb37f8091930273Bb46b8E1260d9086406A,7693.228986576063,8.0,20515.27729753617,2564.409662192021,7693.228986576065,12822.048310960106,1750416046,ETH
0x5aA6A536AB3648A578dd19B480491b52661e4683,0.0,0.0,0.0,0.0,0.0,0.0,0,ETH
0x1809378398Ee9412bbda8bE8ea2Fd6F60ec119aa,12816.536208044232,0.0,12816.536208044232,0.0,12816.536208044232,0.0,1093539722,ETH
0xd028E698688cB4445443fd15b56a823C63DDB9D0,1424.383484135423,4.0,2848.766968270846,1424.383484135423,1424.383484135423,1424.383484135423,243064100,ETH
0xf49Fa21891BF035B5feB50f28Dd9087cBE5C318A,1617.0381860419316,2.0,1617.0381860419316,0.0,1617.0381860419316,0.0,137969843,ETH
0x018f318f84703221f864a2Be5E60808f4d90b72a,0.0,0.0,10699.252912793268,10699.252912793268,0.0,10699.252912793268,912887684,ETH
0x7cFBBeC8f5C9Fc145479c0B0C22CCfCF7b6027A9,33184.06762206193,2.0,66368.13524412386,33184.06762206193,33184.06762206193,33184.06762206193,5662699421,ETH
0xB43A58fdd784985F1F6E1Fe3cab150D18b3d2B88,14095.4012323652,1.0,14095.4012323652,0.0,14095.4012323652,0.0,1202655764,ETH
0x7Cbe9E7df63E36AD63B768E51644977ed97B8d21,0.0,7.0,18647.228720225383,10655.559268700224,0.0,18647.228720225383,1591029353,ETH
0x537D0Cc1b173Aad3755001Ebdb1f96Bb3030b271,27325.10206689573,0.0,27325.10206689573,0.0,27325.10206689573,0.0,2331447751,ETH
0x820df4f7B96eBcC0aa7bfb3aB6F88372D89Af4Bd,3638.2452186704336,2.0,3638.2452186704336,0.0,3638.2452186704336,0.0,310424408,ETH
0xbFc016652a6708b20ae850Ee92D2Ea23ccA5F31a,11720.229224598968,0.0,11720.229224598968,0.0,11720.229224598968,0.0,1000000000,ETH
0xF99dEC84808f85846ccb1D0074fC7Ea4E63d4E22,0.0,8.0,5860.114612299484,2930.057306149742,0.0,5860.114612299484,500000000,ETH
0x91930Da007170135eE03C1EEEdC9CF97E51939a3,0.0,8.0,19567.85096778325,9783.925483891628,0.0,19567.85096778325,1669579203,ETH
0xA902eEc8db6e39b11d41808A817cBffE97BC5603,0.0,1.0,109.06497225603827,109.06497225603827,0.0,109.06497225603827,9305703,ETH
0xa71266E532FfEd3Afd64eccCB5B068e313468Ef4,3403.990871401797,8.0,9077.308990404796,1134.6636238005997,3403.9908714017984,5673.318119002998,774499271,ETH
0x2B080a49D4149598C3c18C1b2D5762b29bD57c61,13016.903254429008,2.0,13016.903254429008,0.0,13016.903254429008,0.0,1110635552,ETH
0x502a6c4ce49b34C0B4ef53d790AFbFe334339F82,262444.3352711963,4.0,349925.7803615951,87481.44509039877,262444.3352711963,87481.44509039877,29856564548,ETH
0x6a9509D4474d0EF9216f9a54765Ba9d6DBd6a8Be,11720.229224598968,0.0,11720.229224598968,0.0,11720.229224598968,0.0,1000000000,ETH
0xDbB9F7369e48Bba21C126D1Dda226673e4cbd6bc,11720.229224598968,0.0,11720.229224598968,0.0,11720.229224598968,0.0,1000000000,ETH
0xD4B133265cb5D0262ae6D37Dc26bA8cD53dC21BA,0.0,3.0,9285.283485216278,9285.283485216278,0.0,9285.283485216278,792244188,ETH
0x9EDB93F757d7B43b23A94bA296259b68E7683d14,0.0,0.0,1267.1787017195163,1267.1787017195163,0.0,1267.1787017195163,108118935,ETH
0x0dae44dB22ed05DbD17BA6EcBE4BdEB87b72eaaC,0.0,3.0,800.8269366375376,800.8269366375376,0.0,800.8269366375376,68328607,ETH
0xeb285C2e8f97a02ac4D0047030Bc293cd466bECd,0.0,2.0,4978.0011468575485,4978.0011468575485,0.0,4978.0011468575485,424735818,ETH
0x00b5ce0Ec24D534ac8b572c11A9C31D1F5f09f94,0.0,3.0,813.5217849637665,813.5217849637665,0.0,813.5217849637665,69411764,ETH
0x06bB0C0436c0D57E47388335547C572C2AA57141,34997.37005346593,2.0,34997.37005346593,0.0,34997.37005346593,0.0,2986065322,ETH
0x3ab85E94C59a4b9F9998298b62934adAE16ccD5F,11509.787820779604,2.0,11509.787820779604,0.0,11509.787820779604,0.0,982044600,ETH
0x9b115DA04fD909D89B17dE1b6a7D38Bf5c72fee8,0.0,4.0,11084.855087932314,11084.855087932314,0.0,11084.855087932314,945788250,ETH
0xEDD53f7108C13b36881a386A6589B3f01308E6F3,0.0,4.0,677.8687577777429,677.8687577777429,0.0,677.8687577777429,57837500,ETH
0xa51305620bD2E9ECbf97d64dAEd4fA0d4F781058,24905.487102272808,4.0,24905.487102272808,0.0,24905.487102272808,0.0,2125000000,ETH
0x68E14Dd7C90F44F17FF4814d11DAA8F1d6224AC6,0.0,3.0,34438.6681327568,34438.6681327568,0.0,34438.6681327568,2938395442,ETH
0x9fa11692a34cFf612A80F5A0C35ac7bb75b689E6,0.0,1.0,872.2485602238199,872.2485602238199,0.0,872.2485602238199,74422483,ETH
0x05E947330f81adacD500FC291965cbB1455FE75D,0.0,8.0,17523.725964524387,8761.862982262193,0.0,17523.725964524387,1495169218,ETH
0x2747b8dcE6Ce16Acb66b74dafEAC8351DcFF7eDd,4749.482684166517,2.0,4749.482684166517,0.0,4749.482684166517,0.0,405238037,ETH
0xd727C1f4d8EE8933734E9855CD6169A158AcA620,0.0,8.0,5999.283051920052,2999.641525960026,0.0,5999.283051920052,511874208,ETH
0xe3924E4bc5B7fe85C45eC55453CA9473fBaF7dE4,3909.090231455417,4.0,15636.360925821664,11727.270694366249,3909.090231455416,11727.270694366249,1334134395,ETH
0x4526509Eb9F26bd5A5EFB16692AEb634a938D7B9,141876.45902413255,1.0,141876.45902413255,0.0,141876.45902413255,0.0,12105263157,ETH
0xE463bCFA30b1cd30A81440A766016d65cFFa33Dc,11632.958428794094,0.0,11632.958428794094,0.0,11632.958428794094,0.0,992553832,ETH
0xDb714714F05cE065fBBfF0444130f4CcD1936482,76068.85534570209,4.0,76068.85534570209,0.0,76068.85534570209,0.0,6490389726,ETH
0xaE743E1cA3ac1FF72B9be5943f4cBA41535bD692,18333.12270933049,0.0,18333.12270933049,0.0,18333.12270933049,0.0,1564229023,ETH
0x733C31D122235F00F1da7B0102528B30B48fDc73,0.0,2.0,11781.857729371137,11781.857729371137,0.0,11781.857729371137,1005258302,ETH
0x3ddEe887c5f8e763856005840914aE7adc1b8aC5,1640.8320914438557,0.0,1640.8320914438557,0.0,1640.8320914438557,0.0,140000000,ETH
0x9c948C1ED3cCF44D1eeA70519b2deC2AC9878Bf9,21975.429796123062,4.0,43950.859592246125,21975.429796123062,21975.429796123062,21975.429796123062,3750000000,ETH
0x60BC5E0440C867eEb4CbcE84bB1123fad2b262B1,0.0,20.0,87.90171918449226,17.58034383689845,0.0,87.90171918449226,7500000,ETH
0x86a2B5e466464ea647E60C2FCf9740ce0eC67abB,4128.142279652025,0.0,4128.142279652025,0.0,4128.142279652025,0.0,352223681,ETH
0x9AFdC7DC5dC4D5346EEAd4E2Bf22Ab29d74De0b9,0.0,2.0,1581.6935142097666,1581.6935142097666,0.0,1581.6935142097666,134954145,ETH
0xCaEf12af4EFb38Ffb54fc8a86E72f9a28Ee5e57c,8692.333402160555,2.0,8692.333402160555,0.0,8692.333402160555,0.0,741652167,ETH
0x5Bca4075dFC8065235cF75C6b15B410e62845Fec,12137.502553243396,0.0,12137.502553243396,0.0,12137.502553243396,0.0,1035602830,ETH
0xa913C0e4F21a83a6Fe698f25c0C20A7A871c3b15,12511.344691399285,8.0,25022.68938279857,0.0,12511.344691399285,12511.344691399285,2134999999,ETH
0xCd8D30F4551cFee96dF292fF1495707294b1De19,2344.0458449197936,0.0,2344.0458449197936,0.0,2344.0458449197936,0.0,200000000,ETH
0x519a4Cb9Dc5fc99914Ca5D777E55AcC7F9b4a0a1,8545.805607925506,0.0,8545.805607925506,0.0,8545.805607925506,0.0,729150040,ETH
