wallet_address,chain,grain_remaining,cdx_allocation
0xE9Aa1c70990026C7fCA0c2e8cA23D9a4C42D7236,FTM,0.92,0.07047914766
0x4AF5BE4eA4931D2462eC43a6b44114Eb8671a81F,FTM,1.05,0.08109587223
0x0076fcC7D245F6c7aAf07238ADFb48aDC62bDD55,ARB,1.17,0.09015560942
0x0FC9aA8e8541A1A3A867EA3F7F3fE670d07A2aDf,FTM,1.17,0.09015560942
0xA58Db6eb6D41206fA4d530e9Fb235015bABDf55C,FTM,1.21,0.09298649556
0x4789155cd023c96C38086C75Ad4A257DF9e30923,FTM,1.23,0.09431629079
0xED9376094Ce37635827E0Cfddc23bFbb6D788469,OP,1.25,0.09646650208
0x8545Cb7151f1d26D716E923B5Fc517fD12886c7F,FTM,1.31,0.1005253076
0xd946B3A3694864358DcA0CD641d72263E032a0c8,FTM,1.32,0.1018298593
0xb2754b61d93C0C0f00b0BE4fa7D2012B6Cd2B430,FTM,1.54,0.1183292374
0x0a04C869D4d48E3D4659260bf61CeB8df95DFAA3,ARB,1.77,0.1358780267
0x208d19d4D5d9CA3dEBde5aC6Bfb0685799d5fe1c,OP,2.13,0.1637929081
0xD511Af7e71a290aaef9e9D4Bc1E168e2293fA2c4,ETH,2.13,0.1639975613
0xe027880CEB8114F2e367211dF977899d00e66138,ETH,2.18,0.1673504484
0xaC494d6774FEa6BB2e85367953d196d759502c1A,FTM,1.16,0.1784038242
0xB74091a5c0073f64F7B5246Fd73715b9730581F6,FTM,2.34,0.1803112188
0x70DDF043d521AaEA0Ed98f39eac0183FDc9e3640,OP,2.53,0.1946955463
0xCE5B6d4F24b06F9c93c42653695A26AB88f1B951,FTM,2.65,0.2035497287
0x35288AdE713a71Be06E42F43B6EdDba193302627,FTM,2.96,0.2276510278
0xf7463e7335033586683Ac1f3DF3080a0B38BaBe9,ARB,3.08,0.2366584747
0x94b008e590226D3a041809285aEC2744e6e4D7da,FTM,3.21,0.2471958624
0x6085314D9A1FCCBA7797b85C2D25136079c33812,ARB,3.48,0.2678487094
0x10dF21199c73209A3F6DffA609d5DbFb184F7f05,OP,4.18,0.3217040642
0x0fC05c40ac64522C9d2d0Afd0e7b4D44f65f0cA3,OP,4.65,0.3580746402
0xE36fecf528d9A204F06A1D8425FEf09D5fD6103d,FTM,4.90,0.3766088303
0x461e76A4fE9f27605d4097A646837c32F1ccc31c,FTM,4.92,0.3781414757
0x3FC4B3145775a3b2d02C3012D1bd1b694b4813da,FTM,2.47,0.3798342909
0x000000000A38444e0a6E37d3b630d7e855a7cb13,FTM,5.06,0.389187341
0xc0C226B735956a3c14B703d84C8c74fa4C7b3e50,FTM,5.10,0.3925609639
0xd187bF6279986d99B9DccC3Fb59Dc2944f4539f1,FTM,5.14,0.3956370733
0xd941FC738ef03A61399Dff8Da88f4E9627D14e61,FTM,5.35,0.4115233932
0x0Fb7F1fb311079824Efcc0444F80a0D2dA577eBD,FTM,5.39,0.4148293994
