tx_hash,from_address,to_address,timestamp,token_address,token_symbol,token_amount,block_number,day
0xa6a5e4c88db82f54f333bc9054650e795f9912e15d62ba5ac3040c630957dee7,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679734896.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,2.6584245e-11,5166377.0,
0x5d83ecb2b70a1fd3420fe5660beafaedf8717d6339fd5f95f1c52e11ff6f83c3,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679735076.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,2.6578637e-11,5166386.0,
0x044e8d5953ecf34fdda1a5021809caec2334756768a6fa5e312e81dbe4c0f423,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679737956.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,5.2993313e-11,5166570.0,
0x27e134f086f90362baa700e1bf608d3835dfd8790a5d7706ee7e238b4b0c4d1c,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679756526.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,5.19022666e-09,5167542.0,
0x217337f4f2cd49c749d4a61cbfb4ba1af795e53824079997be20258e1a12044f,0x1fAc6EEe2197c98D1ef0F166ECcFFA8632e9a279,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679432376.0,0x420000000000000000000000000000000000000A,METIS,0.06,5137847.0,
0x4d77fbd868a53dfe4be00b2ea234145ccdff04267ae5427866ef5341a0203909,0x9F6d8d7c57E989FEdf1D50d9Cf66c91DEf446405,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679518116.0,0x420000000000000000000000000000000000000A,METIS,0.0025,5145425.0,
0x6354bc9edc3e381ff16c562898599a4a07a2fed923d293763590ef0d87fa71af,0xe027880CEB8114F2e367211dF977899d00e66138,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679352066.0,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,METIS,1.0,5131073.0,
0xb7adbfa4b68a048a510b40daedaf795baafc67915ca24923516dfc4cf04ec055,0x5A008fBC7551023d888976B8D410E587Ca6A077b,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679360916.0,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,METIS,3.5,5131699.0,
0xb3365a8a114fa1b77979334677d2ae2c6fcdb0c3be73edc2a1e9b6846f8456a6,0x92CB8A7AF7133303A00CcA4a70b0E544a8435bd4,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679405586.0,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,METIS,100.0,5134885.0,
0xba7af6da270c55a41e08218f43ba47fb3c9cf0e1558d0994f5dc648eafb0ce20,0x17736063f4C89d746Fd7BF5719A8EfE74Cccb7B9,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679480346.0,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,METIS,1.9,5140517.0,
