buyer_address,total_amount_USD
0xe9f40007ba897981748a515f7375ddcc22112cf0,198786.0
0x8b7bbc3ec647181473dc461e3124a7ad57989e1b,198169.35
0x7903d1053ebdbe1f50783752f3b0d834213a799a,176183.66
0xac207c599e4a07f9a8cc5e9cf49b02e20ab7ba69,116920.0
0x69258d1ed30a0e5971992921cb5787b9c7a2909d,83999.99999999999
0x1b710f7e7e3fe91ec6359c6e1d9f14a46d598614,73009.58
0x994f8e8c62f454a79c4f8c338187426370e96c2e,59196.469999999994
0x41c6beb49d2d471c1f6889c800c6ae92c6d1abb3,41749.99999999999
0x15acdde30b45b7bdbbb430f59faaf6ac3ab1972a,40699.380000000005
0x37eedb7ac276bd6c894e81b8937b0b0bab154e22,35999.99999999999
0x28e6a0caf4eb91439e0df4ccfc859f4bea96f942,35743.5
0x4cea75f8efc9e1621ac72ba8c2ca5ccf0e45bb3d,30855.34
0xe16341e4c1594c2696aa5492004dc15b817a3f5e,30200.0
0xb118fd9852ec6762ed38799cb43f0ad1f0d29a2e,26720.0
0xbba2379f5cc9a2f248c5cf18ad72379ae2478f42,26650.0
0x2471aec1f97963234532ffcc79f87f842830f57a,26560.0
0x543ee6e6ec9ea35d8a7fc2d6e0856456915b086a,24861.199999999997
0xcbbac906a26dc3830883d9b573c7d1245968ae75,24786.0
0x85edb8a0472365c3a2d5b6040b6ea6b4f06aab62,23100.0
0x1689560b668a2f063e2aa260d909a8d0bea55e7d,21912.100000000002
0xae1fa6dcb9fc88718ec6c10f334305e2182e9466,21515.39
0x137a48f028be804425428cdd1591675a583235e0,20345.92
0x84f4ccc36fc9d5fb1947949ae5572a33ad738667,20250.000000000004
0x70ddf043d521aaea0ed98f39eac0183fdc9e3640,19733.7
0xbf2bab8425215b99171103550c6b41e6bd04111b,17644.0
0xb16876d2a4eff6c6d2c4ddcc8377ade3d8f79480,16783.2
0xd898c9b2e58156df702d1d6486a3a4c997634081,16459.0
0x4c82e6680cf7c95d21aff0cafdc3b5f43b8bfa53,15900.0
0xbadbbe36ee3fc5bb8f1b59e4bb04f3c992b4b73c,15295.000000000004
0x77c67cee1d9f4145c2d185a304bbb2962c41ceb0,15100.0
0xd1ba0e59b256f7d0d1e1165092bfb19a26517e2f,14598.940000000002
0x190458082967981011ef9b48c8f2d1cd9c6e270a,14345.09
0x3a1b51be347cc35bee967fa6d32c07b63cd4e41e,14200.0
0x9915eb519fbaab6bec191c767a4e230239f95140,13400.0
0xfe92ecb2ff31cfcb047148210e144ac5723e90e4,13189.169999999998
0x4bf0dbf710311219b0f7498ea6910719debc4368,12628.0
0x571ebd4c979f1725593bfb129a24d595d6adfc23,12320.0
0xd02870666f7f1a54776449280d85a8ae3b4e7384,12232.050000000001
0xbbc2d5e79b4cb505c511f10f5774246b6ff83dd3,11661.0
0xee560680bd912cf3e3ba19f64edabc38c6e74b72,11305.5
0x124724852a01645eab39ec288703b42872cdd067,11130.0
0xc7ed7bf2a126983dfde425126b03693d40477ba7,11088.375
0x798fedc8b14085a3f834a9532fd733400aff62d8,10503.6
0xe5b7fb5651b51a1b19224309aed7128c6d88c181,10198.45
0x80fe9e3dbbb75d44fce3e277ee73af1bd34b62ce,9939.84
0x465c92b6b9314b2950df11b7fb7da085f37ff21b,9812.749999999998
0x64a2120b52cf24597f8b78b0ea995dd32c53b05a,9431.08
0x0dc4e81df0feff747f49b1c00382069c3779c7ea,8450.0
0xc5ed67c5b385f283c9082500183d4c3682ed8c57,8200.0
0x69b5d1f3f736116cc95dc1820a34d18649d5a479,7950.0
0xa0009e0a00be5c7b0605d92a948b7651d2f617f8,7950.0
0x0bda0f33311e65379461d0a555bbd7669c0eaa22,7950.0
0xd0fe971732e547059ea6009c79a2d6155bdb41a4,7800.0
0xd16351f6b8004eac0ed645e40b2d2ff254975543,7751.0
0xc4e4a79ab18cdab4c91d5d2f8b870d350bfc106e,7700.0
0x170b6ee0387762acb551310e817febe5f98157bd,7095.255
0x183d9f9c2041cdfe8ab24aaf05e27c2be50d2424,6990.400000000001
0x502a5ff7d4e4f4c9f01d483b5291ec62ea588a2f,6748.0
0xce185e777e2428431936ef88bb068709639bac77,6447.929999999999
0x5f20d84dbfce7d9bd5b43dd22e650e1ef017c011,6432.0
0xd3a13cc4a1108944b0ed45aa4428e19a17cca9b2,6330.0
0x32144a3f0ed8145aa42896a811c7a7ceb1717f24,6301.58
0xd7ca10036c597f01a58369b352da57710943dc46,6163.63
0x18e2742f261225f77bb61ae2afe9eec5a9d0d44c,6080.0
0xc6428ca05abde528b8765ec570c31c99f9b6f4d4,5855.0
0x5b65fe3e821a97785945109743d7fe4a0013b3e7,5688.5
0x819afe0c395a07af7f7fade5d57e556c8b66b699,5672.76
0x699cd0c7d6d41634c5c37cb64ccedef14fb9f9b8,5628.0
0x9aae12dd452f78ae8919c2168717e7348392ad11,5524.09
0x93c686de8ec7addea7f743761c41714e5862d572,5495.0
0xe2777e09e622e4b4fdf2c31385b79d56657a3a4c,5487.0
0x3a51aa75f571ddc91a3cda24cd6e8a3bf2a387b7,5428.26
0xa064b34dc0aeef23e48b400dc4b0a3f940b55865,5421.0
0xd14ab59a934a22b072f331453c205f85c168aae4,5400.0
0x0bbf985c75260ebd881740d51ecbf5b3b0ad321b,5264.9
0x8fc6003daded7aeef374ec36030d7770fe41ca3b,5084.0
0x65ed78c554fc4e43f7e211b2aae62ecf7d1ab99b,5062.5
0x2239d1a741c0e009ae867145a88cb088d5cbcb95,5059.0
0xb1e55c1056238a7a5e5bb0cb924e75a96d7f88cf,5025.0
0x35abbca84d7e6a4effd415d0d971b8de59c233f9,5010.0
0xb8d01517a8e60abd593cdd5c13d64a05b0a7de49,4900.0
0x289a74cc1306387877fcc9bbcac0fed15825b473,4710.0
0x99731996c0586e61470f99ca42520e6b17932a71,4692.7
0x45da535f21331dcb238f6e8fe2e9715028249d74,4691.6
0x79cd5a4c95b6a0a44eaa49a41df0226a5f9fd6f1,4609.7
